0		3756
1		204
2		214
3		267
4		293
5		326
6		369
7		436
8		576
9		768
10		553
11		537
12		641
13		1168
14		14033
15		246261
16		1990078
17		6679708
18		9015280
19		8673293
20		15490256
21		7399790
22		7183061
23		11247234
24		5298025
25		4806126
26		4609183
27		4652077
28		4727066
29		4965095
30		5164560
31		5401053
32		5813827
33		6288939
34		6692083
35		7225640
36		7771480
37		8570432
38		9808948
39		12052232
40		13460678
41		14784769
42		16708832
43		3867324
44		15867906
45		6583418
46		15441672
47		12279317
48		12972880
49		16028278
50		10251687
51		4753770
52		16597398
53		4190253
54		1433590
55		15504539
56		3004482
57		348237
58		98650
59		1399730
60		3304154
61		6525964
62		9467971
63		15963848
64		197340
65		12070239
66		4740058
67		15050498
68		14712753
69		3618431
70		11195173
71		11427514
72		1044572
73		119402
74		86158
75		86648
76		83213
77		70984
78		48716
79		30893
80		20168
81		15489
82		13598
83		12860
84		12460
85		12619
86		12270
87		12195
88		12225
89		12257
90		12174
91		12482
92		12286
93		12646
94		12623
95		12571
96		12683
97		12900
98		12912
99		13276
100		13169
101		13632
102		13572
103		13677
104		13890
105		14052
106		14195
107		14174
108		14356
109		14451
110		14285
111		14205
112		14447
113		14590
114		14241
115		14371
116		14403
117		14653
118		14393
119		14570
120		14507
121		14899
122		14442
123		14646
124		14768
125		14905
126		15029
127		14910
128		15264
129		15366
130		15722
131		15561
132		15512
133		16075
134		16069
135		15802
136		15934
137		16409
138		16388
139		16769
140		16632
141		16793
142		17002
143		17247
144		17257
145		17797
146		17796
147		18017
148		17996
149		18250
150		18082
151		18551
152		18826
153		19174
154		18789
155		19378
156		19475
157		19622
158		19624
159		19778
160		20122
161		20415
162		20400
163		20727
164		20590
165		20978
166		20690
167		21066
168		21140
169		21428
170		21637
171		21305
172		21795
173		21980
174		21838
175		21690
176		22010
177		22110
178		22111
179		22768
180		22233
181		22812
182		22458
183		22620
184		22761
185		23259
186		22886
187		22921
188		22892
189		23570
190		23111
191		23602
192		23445
193		23788
194		23961
195		23806
196		23736
197		23799
198		24021
199		23687
200		24043
201		24082
202		23725
203		24565
204		24051
205		24185
206		24351
207		24139
208		24117
209		24525
210		24425
211		24532
212		24251
213		24585
214		24568
215		24283
216		24272
217		24788
218		24624
219		24643
220		24391
221		24640
222		24569
223		24147
224		24448
225		24790
226		24620
227		24616
228		24517
229		24704
230		24450
231		24349
232		24497
233		24511
234		24378
235		24504
236		24227
237		24650
238		24485
239		24274
240		24306
241		24545
242		24431
243		24567
244		24523
245		24199
246		24035
247		24151
248		23920
249		24298
250		23580
251		24118
252		23859
253		23891
254		23918
255		23624
256		23765
257		23968
258		23784
259		23652
260		23496
261		23634
262		23791
263		23668
264		23617
265		23512
266		23524
267		23424
268		23140
269		23347
270		22883
271		22940
272		22903
273		23043
274		22738
275		23110
276		22851
277		23128
278		22409
279		22734
280		22492
281		22682
282		22343
283		22567
284		22202
285		22389
286		22526
287		21872
288		22051
289		21870
290		21916
291		21772
292		22003
293		21827
294		21752
295		21676
296		21366
297		21937
298		21330
299		21375
300		21090
301		21526
302		21367
303		21059
304		21141
305		21377
306		20876
307		21336
308		21162
309		20840
310		20756
311		20937
312		20540
313		20822
314		20054
315		20632
316		20338
317		20371
318		20171
319		20160
320		19873
321		20222
322		19975
323		19776
324		19941
325		20049
326		19377
327		19739
328		19440
329		19628
330		19450
331		19782
332		19090
333		19557
334		18922
335		19236
336		18773
337		19092
338		19261
339		18994
340		18723
341		18730
342		18800
343		18610
344		18581
345		18555
346		18608
347		18474
348		18074
349		18443
350		18149
351		18137
352		18234
353		18062
354		18165
355		18045
