0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	2
9	1
10	0
11	2
12	3
13	16
14	65
15	410
16	912
17	1071
18	1215
19	1540
20	1681
21	1865
22	2287
23	2796
24	3503
25	4996
26	7046
27	10179
28	13809
29	16728
30	17645
31	16936
32	14988
33	12012
34	9383
35	7290
36	5719
37	4419
38	3396
39	2731
40	2423
41	2114
42	1890
43	1795
44	1778
45	1654
46	1673
47	1657
48	1631
49	1605
50	1605
51	1629
52	1559
53	1608
54	1623
55	1651
56	1627
57	1748
58	1707
59	1700
60	1722
61	1783
62	1710
63	1740
64	1792
65	1801
66	1808
67	1913
68	1964
69	2160
70	2116
71	2299
72	2253
73	2281
74	2205
75	2241
76	2257
77	2162
78	2051
79	1991
80	1967
81	1942
82	1996
83	1894
84	1868
85	1886
86	1837
87	1762
88	1721
89	1721
90	1715
91	1652
92	1647
93	1611
94	1615
95	1543
96	1604
97	1602
98	1563
99	1592
100	1573
101	1556
102	1612
103	1590
104	1547
105	1609
106	1612
107	1671
108	1641
109	1662
110	1625
111	1623
112	1619
113	1637
114	1661
115	1667
116	1576
117	1631
118	1643
119	1663
120	1725
121	1688
122	1641
123	1558
124	1755
125	1687
126	1639
127	1727
128	1633
129	1680
130	1715
131	1661
132	1651
133	1678
134	1637
135	1596
136	1632
137	1633
138	1643
139	1679
140	1674
141	1605
142	1675
143	1597
144	1605
145	1736
146	1619
147	1702
148	1698
149	1685
150	1731
151	1778
152	1735
153	1655
154	1750
155	1716
156	1757
157	1741
158	1787
159	1879
160	1905
161	1879
162	1903
163	2038
164	2015
165	2155
166	2271
167	2273
168	2406
169	2464
170	2529
171	2635
172	2599
173	2704
174	2721
175	2784
176	2857
177	2852
178	2815
179	2769
180	2706
181	2739
182	2768
183	2637
184	2803
185	2771
186	2644
187	2679
188	2599
189	2532
190	2530
191	2629
192	2537
193	2488
194	2412
195	2380
196	2357
197	2340
198	2220
199	2255
200	2216
201	2234
202	2260
203	2207
204	2220
205	2157
206	2129
207	2116
208	2072
209	2148
210	2051
211	2028
212	2031
213	1957
214	1992
215	1930
216	1976
217	1920
218	2009
219	1867
220	1917
221	1904
222	1846
223	1849
224	1943
225	1781
226	1778
227	1745
228	1817
229	1849
230	1866
231	1807
232	1892
233	1713
234	1751
235	1850
236	1702
237	1796
238	1774
239	1738
240	1703
241	1752
242	1804
243	1653
244	1697
245	1617
246	1696
247	1684
248	1683
249	1656
250	1660
251	1651
252	1656
253	1677
254	1648
255	1621
256	1638
257	1649
258	1651
259	1621
260	1609
261	1667
262	1599
263	1551
264	1599
265	1628
266	1681
267	1570
268	1622
269	1558
270	1566
271	1612
272	1469
273	1517
274	1591
275	1574
276	1580
277	1545
278	1513
279	1608
280	1533
281	1534
282	1530
283	1506
284	1648
285	1540
286	1561
287	1563
288	1517
289	1575
290	1510
291	1563
292	1555
293	1495
294	1569
295	1573
296	1532
297	1546
298	1505
299	1506
300	1557
301	1575
302	1499
303	1494
304	1507
305	1522
306	1525
307	1516
308	1510
309	1583
310	1404
311	1594
312	1552
313	1518
314	1498
315	1511
316	1532
317	1563
318	1590
319	1459
320	1560
321	1565
322	1567
323	1531
324	1498
325	1619
326	1559
327	1573
328	1526
329	1656
330	1595
331	1578
332	1615
333	1592
334	1574
335	1569
336	1495
337	1635
338	1623
339	1666
340	1575
341	1627
342	1577
343	1597
344	1706
345	1572
346	1598
347	1696
348	1711
349	1656
350	1605
351	1599
352	1720
353	1605
354	1645
355	1712
356	1688
357	1675
358	1667
359	1713
360	1688
361	1665
362	1694
363	1616
364	1630
365	1625
366	1657
367	1685
368	1552
369	1621
370	1621
371	1543
372	1501
373	1536
374	1479
375	1437
376	1388
377	1367
378	1358
379	1302
380	1239
381	1235
382	1208
383	1131
384	1034
385	995
386	983
387	912
388	875
389	924
390	846
391	815
392	757
393	701
394	723
395	652
396	607
397	615
398	569
399	551
400	552
401	513
402	498
403	462
404	455
405	473
406	440
407	434
408	416
409	446
410	432
411	410
412	421
413	352
414	371
415	391
416	340
417	345
418	327
419	322
420	319
421	294
422	320
423	317
424	286
425	267
426	270
427	294
428	251
429	262
430	252
431	244
432	234
433	245
434	220
435	239
436	238
437	229
438	226
439	231
440	206
441	241
