1	950	4405	20	 120428 	
2	950	4286	20	 120449 	
3	950	4319	20	 120509 	
4	950	4374	20	 120529 	
5	950	4383	20	 120550 	
6	950	4304	20	 120610 	
7	950	4329	20	 120630 	
8	950	4246	20	 120650 	
9	950	4193	20	 120711 	
10	950	4222	20	 120731 	
11	950	4349	20	 120751 	
12	950	4299	20	 120812 	
13	950	4274	20	 120832 	
14	950	4303	20	 120852 	
15	950	4162	20	 120913 	
16	950	4220	20	 120933 	
17	950	4291	20	 120953 	
18	950	4343	20	 121013 	
19	950	4198	20	 121034 	
20	950	4306	20	 121054 	
21	950	4221	20	 121114 	
22	950	4316	20	 121135 	
23	950	4290	20	 121155 	
24	950	4263	20	 121215 	
25	950	4291	20	 121235 	
26	950	4452	20	 121256 	
27	950	4361	20	 121316 	
28	950	4227	20	 121336 	
29	950	4292	20	 121357 	
30	950	4340	20	 121417 	
31	950	4205	20	 121437 	
32	950	4332	20	 121458 	
33	950	4188	20	 121518 	
34	950	4212	20	 121538 	
35	950	4354	20	 121558 	
36	950	4248	20	 121619 	
37	950	4277	20	 121639 	
38	950	4282	20	 121659 	
39	950	4246	20	 121720 	
40	950	4330	20	 121740 	
41	950	4281	20	 121800 	
42	950	4296	20	 121820 	
43	950	4263	20	 121841 	
44	950	4260	20	 121901 	
45	950	4267	20	 121921 	
46	950	4326	20	 121941 	
47	950	4136	20	 122002 	
48	950	4287	20	 122022 	
49	950	4224	20	 122042 	
50	950	4291	20	 122103 	
51	950	4306	20	 122123 	
52	950	4284	20	 122143 	
53	950	4286	20	 122204 	
54	950	4296	20	 122224 	
55	950	4222	20	 122244 	
56	950	4371	20	 122304 	
57	950	4286	20	 122325 	
58	950	4358	20	 122345 	
59	950	4365	20	 122405 	
60	950	4182	20	 122426 	
61	950	4302	20	 122446 	
62	950	4374	20	 122506 	
63	950	4234	20	 122526 	
64	950	4378	20	 122547 	
65	950	4325	20	 122607 	
66	950	4342	20	 122627 	
67	950	4304	20	 122648 	
68	950	4278	20	 122708 	
69	950	4483	20	 122728 	
70	950	4353	20	 122748 	
71	950	4313	20	 122809 	
72	950	4295	20	 122829 	
73	950	4292	20	 122849 	
74	950	4276	20	 122910 	
75	950	4332	20	 122930 	
76	950	4111	20	 122950 	
77	950	4319	20	 123010 	
78	950	4260	20	 123031 	
79	950	4260	20	 123051 	
80	950	4275	20	 123111 	
81	950	4337	20	 123132 	
82	950	4306	20	 123152 	
83	950	4157	20	 123212 	
84	950	4276	20	 123232 	
85	950	4309	20	 123253 	
86	950	4149	20	 123313 	
87	950	4296	20	 123333 	
88	950	4241	20	 123354 	
89	950	4277	20	 123414 	
90	950	4196	20	 123434 	
91	950	4293	20	 123454 	
92	950	4317	20	 123515 	
93	950	4237	20	 123535 	
94	950	4334	20	 123555 	
95	950	4316	20	 123615 	
96	950	4289	20	 123636 	
97	950	4285	20	 123656 	
98	950	4280	20	 123716 	
99	950	4304	20	 123737 	
100	950	4347	20	 123757 	
101	950	4210	20	 123817 	
102	950	4317	20	 123838 	
103	950	4398	20	 123858 	
104	950	4199	20	 123918 	
105	950	4304	20	 123938 	
106	950	4354	20	 123959 	
107	950	4291	20	 124019 	
108	950	4317	20	 124039 	
109	950	4369	20	 124100 	
110	950	4415	20	 124120 	
111	950	4321	20	 124140 	
112	950	4215	20	 124200 	
113	950	4221	20	 124221 	
114	950	4176	20	 124241 	
115	950	4234	20	 124301 	
116	950	4361	20	 124322 	
117	950	4151	20	 124342 	
118	950	4343	20	 124402 	
119	950	4259	20	 124423 	
120	950	4264	20	 124443 	
121	950	4280	20	 124503 	
122	950	4270	20	 124523 	
123	950	4325	20	 124544 	
124	950	4236	20	 124604 	
125	950	4217	20	 124624 	
126	950	4189	20	 124645 	
127	950	4164	20	 124705 	
128	950	4234	20	 124725 	
129	950	4243	20	 124745 	
130	950	4356	20	 124806 	
131	950	4237	20	 124826 	
132	950	4197	20	 124846 	
133	950	4241	20	 124907 	
134	950	4098	20	 124927 	
135	950	4257	20	 124947 	
136	950	4258	20	 125008 	
137	950	4295	20	 125028 	
138	950	4214	20	 125048 	
139	950	4405	20	 125109 	
140	950	4272	20	 125129 	
141	950	4251	20	 125149 	
142	950	4222	20	 125209 	
143	950	4277	20	 125230 	
144	950	4272	20	 125250 	
145	950	4323	20	 125310 	
146	950	4290	20	 125331 	
147	950	4386	20	 125351 	
148	950	4223	20	 125411 	
149	950	4365	20	 125432 	
150	950	4243	20	 125452 	
151	950	4161	20	 125512 	
152	950	4345	20	 125533 	
153	950	4295	20	 125553 	
154	950	4248	20	 125613 	
155	950	4265	20	 125633 	
156	950	4358	20	 125654 	
157	950	4392	20	 125714 	
158	950	4373	20	 125734 	
159	950	4352	20	 125754 	
160	950	4314	20	 125815 	
161	950	4200	20	 125835 	
162	950	4294	20	 125855 	
163	950	4325	20	 125916 	
164	950	4171	20	 125936 	
165	950	4319	20	 125956 	
166	950	4336	20	 010017 	
167	950	4226	20	 010037 	
168	950	4193	20	 010057 	
169	950	4261	20	 010118 	
170	950	4357	20	 010138 	
171	950	4364	20	 010158 	
172	950	4190	20	 010219 	
173	950	4164	20	 010239 	
174	950	4263	20	 010259 	
175	950	4218	20	 010319 	
176	950	4374	20	 010340 	
177	950	4321	20	 010400 	
178	950	4297	20	 010420 	
179	950	4211	20	 010441 	
180	950	4236	20	 010501 	
181	950	4266	20	 010521 	
182	950	4272	20	 010541 	
183	950	4210	20	 010602 	
184	950	4204	20	 010622 	
185	950	4322	20	 010642 	
186	950	4234	20	 010703 	
187	950	4311	20	 010723 	
188	950	4319	20	 010743 	
189	950	4376	20	 010804 	
190	950	4277	20	 010824 	
191	950	4323	20	 010844 	
192	950	4270	20	 010904 	
193	950	4282	20	 010925 	
194	950	4284	20	 010945 	
195	950	4231	20	 011005 	
196	950	4265	20	 011026 	
197	950	4270	20	 011046 	
198	950	4314	20	 011106 	
199	950	4332	20	 011126 	
200	950	4338	20	 011147 	
201	950	4291	20	 011207 	
202	950	4222	20	 011227 	
203	950	4353	20	 011248 	
204	950	4295	20	 011308 	
205	950	4243	20	 011328 	
206	950	4292	20	 011348 	
207	950	4401	20	 011409 	
208	950	4326	20	 011429 	
209	950	4289	20	 011449 	
